{'alpha': 0.900670126080513, 'proportion_of_honest': 0.5600000000000003, 'rounds': 0}
{'alpha': 1.0929052233695984, 'proportion_of_honest': 0.5800000000000003, 'rounds': 1}
{'alpha': 1.267168328166008, 'proportion_of_honest': 0.6100000000000003, 'rounds': 2}
{'alpha': 1.2401013020426035, 'proportion_of_honest': 0.6200000000000003, 'rounds': 3}
{'alpha': 2.219275498762727, 'proportion_of_honest': 0.6300000000000003, 'rounds': 4}
{'alpha': 2.610606724396348, 'proportion_of_honest': 0.7600000000000005, 'rounds': 5}
{'alpha': 3.370506877079606, 'proportion_of_honest': 0.7900000000000005, 'rounds': 6}
{'alpha': 4.370506877079606, 'proportion_of_honest': 0.7600000000000005, 'rounds': 7}
{'alpha': 4.709316605702043, 'proportion_of_honest': 0.8000000000000005, 'rounds': 8}
{'alpha': 5.654283696785569, 'proportion_of_honest': 0.8900000000000006, 'rounds': 9}
{'alpha': 6.654283696785569, 'proportion_of_honest': 0.8700000000000006, 'rounds': 10}
{'alpha': 5.770618611946702, 'proportion_of_honest': 0.9400000000000006, 'rounds': 11}
{'alpha': 6.755425626412034, 'proportion_of_honest': 0.9600000000000006, 'rounds': 12}
{'alpha': 6.51481413282454, 'proportion_of_honest': 0.9800000000000006, 'rounds': 13}
{'alpha': 5.51481413282454, 'proportion_of_honest': 1.0000000000000007, 'rounds': 14}
{'alpha': 5.7211604956537485, 'proportion_of_honest': 1.0000000000000007, 'rounds': 15}
{'alpha': 1.8275933265686035, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.370393067598343, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 2.370393067598343, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 0.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.8232247829437256, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.4026305377483368, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 1.958425760269165, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.8179959952831268, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 2.1677178144454956, 'proportion_of_honest': 1.0000000000000007, 'rounds': 2}
{'alpha': 2.4884332418441772, 'proportion_of_honest': 1.0000000000000007, 'rounds': 3}
{'alpha': 0.7773973643779755, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 0.8360441029071808, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.7414231598377228, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 1.5345946550369263, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 0.80622598528862, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.80622598528862, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 0.06842458248138428, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 0.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 2.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 0.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 2}
{'alpha': 0.07675126194953918, 'proportion_of_honest': 1.0000000000000007, 'rounds': 3}
{'alpha': 1.3433012068271637, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 0.3433012068271637, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 0.27078402042388916, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
{'alpha': 1.1652616262435913, 'proportion_of_honest': 1.0000000000000007, 'rounds': 1}
{'alpha': 0.0, 'proportion_of_honest': 1.0000000000000007, 'rounds': 0}
