{'alpha': 0.0, 'proportion_of_honest': 0.49000000000000027, 'rounds': 1, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 0.9518604874610901, 'proportion_of_honest': 0.47000000000000025, 'rounds': 2, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 1.8842748403549194, 'proportion_of_honest': 0.46000000000000024, 'rounds': 3, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 2.8842748403549194, 'proportion_of_honest': 0.45000000000000023, 'rounds': 4, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 2.110333204269409, 'proportion_of_honest': 0.47000000000000025, 'rounds': 5, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 2.187862627208233, 'proportion_of_honest': 0.5000000000000002, 'rounds': 6, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 2.296019420027733, 'proportion_of_honest': 0.5100000000000002, 'rounds': 7, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 3.296019420027733, 'proportion_of_honest': 0.5600000000000003, 'rounds': 8, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 4.296019420027733, 'proportion_of_honest': 0.6100000000000003, 'rounds': 9, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 4.706069007515907, 'proportion_of_honest': 0.5700000000000003, 'rounds': 10, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 5.058045968413353, 'proportion_of_honest': 0.6500000000000004, 'rounds': 11, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 4.058045968413353, 'proportion_of_honest': 0.6400000000000003, 'rounds': 12, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 3.8427548110485077, 'proportion_of_honest': 0.5800000000000003, 'rounds': 13, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 2.8427548110485077, 'proportion_of_honest': 0.5700000000000003, 'rounds': 14, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 1.8427548110485077, 'proportion_of_honest': 0.6400000000000003, 'rounds': 15, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 2.8427548110485077, 'proportion_of_honest': 0.6400000000000003, 'rounds': 16, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 1.8427548110485077, 'proportion_of_honest': 0.6700000000000004, 'rounds': 17, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 0.8427548110485077, 'proportion_of_honest': 0.6800000000000004, 'rounds': 18, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 0.8421130925416946, 'proportion_of_honest': 0.6600000000000004, 'rounds': 19, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 0.038962557911872864, 'proportion_of_honest': 0.7000000000000004, 'rounds': 20, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 1.0389625579118729, 'proportion_of_honest': 0.7100000000000004, 'rounds': 21, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 0.038962557911872864, 'proportion_of_honest': 0.7000000000000004, 'rounds': 22, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 0.9434248358011246, 'proportion_of_honest': 0.7800000000000005, 'rounds': 23, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 1.9434248358011246, 'proportion_of_honest': 0.8000000000000005, 'rounds': 24, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 2.9434248358011246, 'proportion_of_honest': 0.8000000000000005, 'rounds': 25, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 2.2642391473054886, 'proportion_of_honest': 0.8200000000000005, 'rounds': 26, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 2.2111168801784515, 'proportion_of_honest': 0.9100000000000006, 'rounds': 27, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 2.6128529012203217, 'proportion_of_honest': 0.9200000000000006, 'rounds': 28, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 3.549916595220566, 'proportion_of_honest': 0.9700000000000006, 'rounds': 29, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 3.848150312900543, 'proportion_of_honest': 0.9500000000000006, 'rounds': 30, 'initial_honest_proportion': 0.49000000000000027}
