{'alpha': 2, 'proportion_of_honest': 0.3300000000000001, 'rounds': 1, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 3, 'proportion_of_honest': 0.24000000000000007, 'rounds': 2, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 4, 'proportion_of_honest': 0.2800000000000001, 'rounds': 3, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 5, 'proportion_of_honest': 0.2800000000000001, 'rounds': 4, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 6, 'proportion_of_honest': 0.2900000000000001, 'rounds': 5, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 7, 'proportion_of_honest': 0.46000000000000024, 'rounds': 6, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 8, 'proportion_of_honest': 0.5900000000000003, 'rounds': 7, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 9, 'proportion_of_honest': 0.5900000000000003, 'rounds': 8, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 10, 'proportion_of_honest': 0.6000000000000003, 'rounds': 9, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 11, 'proportion_of_honest': 0.6600000000000004, 'rounds': 10, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 12, 'proportion_of_honest': 0.7600000000000005, 'rounds': 11, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 13, 'proportion_of_honest': 0.7500000000000004, 'rounds': 12, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 14, 'proportion_of_honest': 0.7800000000000005, 'rounds': 13, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 15, 'proportion_of_honest': 0.7700000000000005, 'rounds': 14, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 16, 'proportion_of_honest': 0.7900000000000005, 'rounds': 15, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 17, 'proportion_of_honest': 0.7600000000000005, 'rounds': 16, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 18, 'proportion_of_honest': 0.7600000000000005, 'rounds': 17, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 19, 'proportion_of_honest': 0.7800000000000005, 'rounds': 18, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 20, 'proportion_of_honest': 0.6900000000000004, 'rounds': 19, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 21, 'proportion_of_honest': 0.7300000000000004, 'rounds': 20, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 22, 'proportion_of_honest': 0.7000000000000004, 'rounds': 21, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 23, 'proportion_of_honest': 0.6800000000000004, 'rounds': 22, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 24, 'proportion_of_honest': 0.7100000000000004, 'rounds': 23, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 25, 'proportion_of_honest': 0.7200000000000004, 'rounds': 24, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 26, 'proportion_of_honest': 0.7700000000000005, 'rounds': 25, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 27, 'proportion_of_honest': 0.7500000000000004, 'rounds': 26, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 28, 'proportion_of_honest': 0.7800000000000005, 'rounds': 27, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 29, 'proportion_of_honest': 0.7900000000000005, 'rounds': 28, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 30, 'proportion_of_honest': 0.8000000000000005, 'rounds': 29, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 31, 'proportion_of_honest': 0.7900000000000005, 'rounds': 30, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 32, 'proportion_of_honest': 0.8100000000000005, 'rounds': 31, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 33, 'proportion_of_honest': 0.8100000000000005, 'rounds': 32, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 34, 'proportion_of_honest': 0.8300000000000005, 'rounds': 33, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 35, 'proportion_of_honest': 0.7900000000000005, 'rounds': 34, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 36, 'proportion_of_honest': 0.8100000000000005, 'rounds': 35, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 37, 'proportion_of_honest': 0.8200000000000005, 'rounds': 36, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 38, 'proportion_of_honest': 0.7900000000000005, 'rounds': 37, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 39, 'proportion_of_honest': 0.7800000000000005, 'rounds': 38, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 40, 'proportion_of_honest': 0.8200000000000005, 'rounds': 39, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 41, 'proportion_of_honest': 0.8400000000000005, 'rounds': 40, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 42, 'proportion_of_honest': 0.8500000000000005, 'rounds': 41, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 43, 'proportion_of_honest': 0.8900000000000006, 'rounds': 42, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 44, 'proportion_of_honest': 0.8800000000000006, 'rounds': 43, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 45, 'proportion_of_honest': 0.8000000000000005, 'rounds': 44, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 46, 'proportion_of_honest': 0.8700000000000006, 'rounds': 45, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 47, 'proportion_of_honest': 0.8400000000000005, 'rounds': 46, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 48, 'proportion_of_honest': 0.8200000000000005, 'rounds': 47, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 49, 'proportion_of_honest': 0.8400000000000005, 'rounds': 48, 'initial_honest_proportion': 0.3300000000000001}
{'alpha': 50, 'proportion_of_honest': 0.7900000000000005, 'rounds': 49, 'initial_honest_proportion': 0.3300000000000001}
