#{"t_start": 1677753903.002829, "env_id": null}
r,l,t
26.08,31,0.126402
1.0,1,0.127619
2.0,2,0.132554
1.0,1,0.133582
2.0,2,0.139375
3.0,3,0.145046
2.0,2,0.151098
1.0,1,0.152255
6.0,6,0.17017
1.0,1,0.171334
1.0,1,0.175054
3.0,3,0.181093
1.0,1,0.182201
2.0,2,0.188121
2.0,2,0.191411
1.0,1,0.192649
1.0,1,0.195867
1.0,1,0.197011
1.0,1,0.198065
1.0,1,0.199147
1.0,1,0.200325
1.0,1,0.203481
2.0,2,0.206846
1.0,1,0.208011
2.0,2,0.214169
2.0,2,0.217824
1.0,1,0.218925
3.0,3,0.226873
1.0,1,0.228066
2.0,2,0.231465
2.0,2,0.239604
1.0,1,0.240691
3.0,3,0.248695
1.0,1,0.249892
1.0,1,0.251118
1.0,1,0.252184
1.0,1,0.253262
2.0,2,0.258893
2.0,2,0.262155
4.0,4,0.272271
1.0,1,0.273326
1.0,1,0.274382
2.0,2,0.280032
7.0,7,0.295999
1.0,1,0.297005
3.0,3,0.304351
1.0,1,0.305388
1.0,1,0.306421
1.0,1,0.309499
5.0,5,0.321346
2.0,2,0.324791
1.0,1,0.325807
2.0,2,0.3311
1.0,1,0.332159
6.0,6,0.348104
1.0,1,0.349155
1.0,1,0.35034
2.0,2,0.355849
5.0,5,0.367716
1.0,1,0.368746
1.0,1,0.369756
1.0,1,0.370778
2.0,2,0.375919
1.0,1,0.376955
1.0,1,0.378017
2.0,2,0.383133
1.0,1,0.384176
1.0,1,0.385218
1.0,1,0.386273
2.0,2,0.391375
1.0,1,0.392421
1.0,1,0.393446
2.0,2,0.396589
1.0,1,0.399518
1.0,1,0.400588
2.0,2,0.40382
1.0,1,0.404857
1.0,1,0.407861
1.0,1,0.408905
1.0,1,0.409955
2.0,2,0.413164
1.0,1,0.416199
1.0,1,0.417239
1.0,1,0.418278
1.0,1,0.419301
2.0,2,0.424548
3.0,3,0.42982
1.0,1,0.430827
2.0,2,0.435957
3.0,3,0.441198
1.0,1,0.444116
4.0,4,0.453907
1.0,1,0.457072
1.0,1,0.458096
4.0,4,0.468752
1.0,1,0.469904
1.0,1,0.47093
2.0,2,0.474217
1.0,1,0.47729
1.0,1,0.478366
1.0,1,0.479399
2.0,2,0.482619
3.0,3,0.489815
2.0,2,0.492922
1.0,1,0.495885
1.0,1,0.496898
1.0,1,0.497925
2.0,2,0.501112
3.0,3,0.508404
1.0,1,0.509461
1.0,1,0.510499
1.0,1,0.513499
1.0,1,0.514513
1.0,1,0.515551
1.0,1,0.516583
2.0,2,0.52179
1.0,1,0.52288
1.0,1,0.523956
1.0,1,0.524994
4.0,4,0.534797
1.0,1,0.535827
1.0,1,0.536831
1.0,1,0.54012
2.0,2,0.54334
1.0,1,0.544397
3.0,3,0.551642
2.0,2,0.55662
2.0,2,0.565844
2.0,2,0.569186
3.0,3,0.576839
1.0,1,0.577931
9.0,9,0.599809
1.0,1,0.600868
5.0,5,0.612297
1.0,1,0.613489
2.0,2,0.61668
1.0,1,0.619633
1.0,1,0.664905
3.0,3,0.670571
2.0,2,0.676586
1.0,1,0.67765
1.0,1,0.678686
2.0,2,0.684385
2.0,2,0.687829
3.0,3,0.695639
5.0,5,0.707749
1.0,1,0.708831
1.0,1,0.709896
1.0,1,0.710949
1.0,1,0.712
1.0,1,0.715126
1.0,1,0.716214
2.0,2,0.719487
7.0,7,0.737718
1.0,1,0.738771
1.0,1,0.739814
1.0,1,0.740918
